X1,X2,X3,X4,X5,X6,X7,X8,X9,y
A,C1,CORAZ,XXXX2,5ZEYTZ,MODA,1.11,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.2,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.77,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.89,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.92,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,2.04,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,3.53,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.776,XXX,AAA,AAA-MP01
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.985,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,1.985,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,2.767,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8ZEYTZ,MODA,2.782,XXX,AAA,AAA-MP01;AAA-MP02
A,C1,CORAZ,XXXX2,8S2P,MODA,5.53,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,8S2P,MODA,6.5,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,10S2P,MODA,6.918,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,12ZEYTZ,MODA,4.15,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,12ZEYTZ,MODA,4.9,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,12S2P,MODA,8.302,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,14ZEYTZ,MODA,4.8,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,14ZEYTZ,MODA,4.8,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,14ZEYTZ,MODA,4.84,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,14ZEYTZ,MODA,4.84,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,18ZEYTZ,MODA,7.35,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,20ZEYTZ,MODA,6.608,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,20ZEYTZ,MODA,6.608,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,5.46,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.35,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.35,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.4,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.4,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.6,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.61,XXX,AAA,AAA-MP01;AAA-MP02;AAA-MP03
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.61,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.69,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.69,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,8.98,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,8.98,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.349,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,6.349,XXX,CCC,CCC-MP01
A,C1,CORAZ,XXXX2,22ZEYTZ,MODA,7.651,XXX,AAA,AAA-MP02
A,C1,CORAZ,XXXX2,24ZEYTZ,MODA,10.54,XXX,AAA,AAA-MP02
A,C1,CORAZ,J3LELA12,16ZEYTZ,TRAY,3.6,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,16ZEYTZ,TRAY,3.97,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,16ZEYTZ,TRAY,3.97,XXX,CCC,CCC-TP01
A,C1,CORAZ,J3LELA12,16ZEYTZ,TRAY,5.5,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,16ZEYTZ,TRAY,3.552,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,22S2P,TRAY,15.22,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,24S2P,TRAY,16.6,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,24S2P,TRAY,19.6,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,30ZEYTZ,TRAY,12.3,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA12,14S20P,TRAY,1.77,XXX,AAA,AAA-TP01
A,C1,CORAZ,J3LELA16,SP,JCBA,0,XXX,AAA,AAA-MJ01
A,C1,CORAZ,J3LELA16,SP,JCBA,0,XXX,CCC,CCC-MJ01
